city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
Brent,Brent,FL,Florida,12033,Escambia,30.4729,-87.2496,22337
Northfield,Northfield,MN,Minnesota,27131,Rice,44.455,-93.1698,22325
Highland,Highland,IN,Indiana,18089,Lake,41.5485,-87.4587,22316
Sequim,Sequim,WA,Washington,53009,Clallam,48.0746,-123.0944,22304
Prairie Village,Prairie Village,KS,Kansas,20091,Johnson,38.9874,-94.6361,22295
Kuna,Kuna,ID,Idaho,16001,Ada,43.4869,-116.3986,22292
Coralville,Coralville,IA,Iowa,19103,Johnson,41.699,-91.5967,22290
Fort Mill,Fort Mill,SC,South Carolina,45091,York,35.0062,-80.9388,22284
Rose Hill,Rose Hill,VA,Virginia,51059,Fairfax,38.7872,-77.1085,22252
Hudson,Hudson,OH,Ohio,39153,Summit,41.2399,-81.4408,22237
Lutz,Lutz,FL,Florida,12057,Hillsborough,28.1396,-82.4467,22235
Taylors,Taylors,SC,South Carolina,45045,Greenville,34.9157,-82.3124,22230
Roanoke Rapids,Roanoke Rapids,NC,North Carolina,37083,Halifax,36.4452,-77.6491,22225
Vega Baja,Vega Baja,PR,Puerto Rico,72145,Vega Baja,18.441,-66.3993,22211
Raymore,Raymore,MO,Missouri,29037,Cass,38.8029,-94.4583,22194
Ensley,Ensley,FL,Florida,12033,Escambia,30.5261,-87.2735,22194
Fremont,Fremont,OH,Ohio,39143,Sandusky,41.3536,-83.1148,22191
Mukwonago,Mukwonago,WI,Wisconsin,55133,Waukesha,42.8566,-88.3269,22185
Watertown,Watertown,SD,South Dakota,46029,Codington,44.9094,-97.1531,22174
East Patchogue,East Patchogue,NY,New York,36103,Suffolk,40.7704,-72.9817,22172
Lebanon,Lebanon,OR,Oregon,41043,Linn,44.5317,-122.9071,22160
Pickerington,Pickerington,OH,Ohio,39045,Fairfield,39.889,-82.7678,22158
Lexington,Lexington,SC,South Carolina,45063,Lexington,33.989,-81.2202,22157
Arvin,Arvin,CA,California,6029,Kern,35.1944,-118.8306,22155
Lino Lakes,Lino Lakes,MN,Minnesota,27003,Anoka,45.1679,-93.083,22119
Augusta,Augusta,ME,Maine,23011,Kennebec,44.3341,-69.7319,22116
Milford,Milford,DE,Delaware,10005,Sussex,38.9091,-75.4224,22102
Shelbyville,Shelbyville,TN,Tennessee,47003,Bedford,35.4987,-86.4516,22101
Corinth,Corinth,TX,Texas,48121,Denton,33.1435,-97.0681,22099
Naples,Naples,FL,Florida,12021,Collier,26.1504,-81.7936,22088
West Carson,West Carson,CA,California,6037,Los Angeles,33.8229,-118.2931,22079
Maple Heights,Maple Heights,OH,Ohio,39035,Cuyahoga,41.4094,-81.5625,22078
Lealman,Lealman,FL,Florida,12103,Pinellas,27.8197,-82.6847,22034
Chester,Chester,VA,Virginia,51041,Chesterfield,37.3531,-77.4342,22032
Gardner,Gardner,KS,Kansas,20091,Johnson,38.8158,-94.93,22031
Union Hill-Novelty Hill,Union Hill-Novelty Hill,WA,Washington,53033,King,47.6788,-122.0284,21992
Hayesville,Hayesville,OR,Oregon,41047,Marion,44.9794,-122.9739,21979
Siloam Springs,Siloam Springs,AR,Arkansas,5007,Benton,36.1844,-94.5318,21975
Piqua,Piqua,OH,Ohio,39109,Miami,40.1505,-84.2441,21936
Fish Hawk,Fish Hawk,FL,Florida,12057,Hillsborough,27.8511,-82.2164,21929
Port Hueneme,Port Hueneme,CA,California,6111,Ventura,34.1617,-119.2036,21926
Lakeside,Lakeside,CA,California,6073,San Diego,32.856,-116.904,21917
Summit,Summit,NJ,New Jersey,34039,Union,40.7154,-74.3647,21897
Secaucus,Secaucus,NJ,New Jersey,34017,Hudson,40.781,-74.0659,21893
Golden Valley,Golden Valley,MN,Minnesota,27053,Hennepin,44.9901,-93.3591,21886
Jasmine Estates,Jasmine Estates,FL,Florida,12101,Pasco,28.293,-82.6907,21865
Mount Vernon,Mount Vernon,OH,Ohio,39083,Knox,40.3854,-82.4734,21864
Bloomington,Bloomington,CA,California,6071,San Bernardino,34.0601,-117.4013,21847
Camp Springs,Camp Springs,MD,Maryland,24033,Prince George's,38.8052,-76.9198,21841
Lennox,Lennox,CA,California,6037,Los Angeles,33.938,-118.3586,21818
Roselle,Roselle,NJ,New Jersey,34039,Union,40.6527,-74.2599,21811
Geneva,Geneva,IL,Illinois,17089,Kane,41.8832,-88.3242,21809
Sunny Isles Beach,Sunny Isles Beach,FL,Florida,12086,Miami-Dade,25.9385,-80.1246,21804
Rancho San Diego,Rancho San Diego,CA,California,6073,San Diego,32.7624,-116.9197,21799
Massapequa,Massapequa,NY,New York,36059,Nassau,40.6676,-73.4706,21784
